"시도명(1)","시점","시군구(1)",관용,관용,관용,관용,자가용,자가용,자가용,자가용
"시도명(1)","시점","시군구(1)",경형,소형,중형,대형,경형,소형,중형,대형
"부산","2021.06","사하구",10,2,75,2,526,2922,7957,770
"부산","2021.06","서구",1,6,2,0,223,1679,4088,273
"부산","2021.06","수영구",5,1,98,0,317,1903,4227,526
"부산","2021.06","연제구",5,5,95,36,267,1668,4361,543
"부산","2021.06","영도구",6,4,44,0,198,1595,4350,288
"부산","2021.06","해운대구",13,0,84,1,554,3306,8137,1092
"부산","2021.06","부산기타",0,0,0,0,0,10,4,0
"부산","2021.07","금정구",10,8,74,2,377,2299,5330,473
"부산","2021.07","기장군",10,7,58,0,276,1653,3387,466
"부산","2021.07","남구",3,10,21,0,484,2665,7022,812
"부산","2021.07","동구",6,29,39,1,210,970,2950,271
"부산","2021.07","동래구",2,1,72,0,414,2373,5443,645
"부산","2021.07","부산진구",17,23,88,1,607,5941,10295,1139
"부산","2021.07","북구",20,4,48,1,403,2430,5573,576
"부산","2021.07","사상구",25,19,94,0,556,2956,6426,542
"부산","2021.07","사하구",10,2,75,1,520,2923,7976,795
"부산","2021.07","서구",1,6,2,0,220,1688,4133,274
"부산","2021.07","수영구",5,1,98,0,324,1921,4292,550
"부산","2021.07","연제구",5,5,95,36,263,1666,4357,559
"부산","2021.07","영도구",6,4,43,0,195,1600,4387,296
"부산","2021.07","해운대구",13,0,83,1,547,3300,8221,1138
"부산","2021.07","부산기타",0,0,0,0,0,10,4,0
"부산","2021.08","금정구",10,8,73,2,387,2318,5366,483
"부산","2021.08","기장군",8,8,57,0,283,1599,3406,477
"부산","2021.08","남구",5,10,21,0,485,2680,7047,821
"부산","2021.08","동구",6,29,39,1,213,985,2959,287
"부산","2021.08","동래구",2,1,71,0,415,2392,5457,656
"부산","2021.08","부산진구",17,26,89,2,616,5977,10354,1167
"부산","2021.08","북구",12,4,47,1,413,2458,5615,571
"부산","2021.08","사상구",29,25,94,0,555,2993,6446,548
"부산","2021.08","사하구",10,2,75,1,527,2965,8008,803
"부산","2021.08","서구",1,6,2,0,228,1704,4141,286
"부산","2021.08","수영구",5,1,98,0,334,1929,4327,559
"부산","2021.08","연제구",5,5,95,36,272,1666,4341,576
"부산","2021.08","영도구",6,4,42,0,199,1622,4412,293
"부산","2021.08","해운대구",12,0,83,1,567,3327,8277,1164
"부산","2021.08","부산기타",0,0,0,0,0,10,4,0
"부산","2021.09","금정구",10,5,66,2,388,2063,5218,495
"부산","2021.09","기장군",8,11,57,0,285,1568,3411,491
"부산","2021.09","남구",4,10,21,0,484,2438,6892,824
"부산","2021.09","동구",6,29,32,1,218,988,2989,281
"부산","2021.09","동래구",2,1,71,0,423,2408,5486,659
"부산","2021.09","부산진구",18,16,89,2,626,3897,9696,1164
"부산","2021.09","북구",12,4,47,0,430,2469,5621,598
"부산","2021.09","사상구",34,28,94,0,573,2999,6490,558
"부산","2021.09","사하구",10,2,75,1,540,2982,8013,807
"부산","2021.09","서구",1,6,2,0,229,1713,4146,295
"부산","2021.09","수영구",5,4,98,1,327,1482,4105,573
"부산","2021.09","연제구",5,5,95,36,276,1679,4367,581
"부산","2021.09","영도구",6,2,42,0,206,1619,4425,286
"부산","2021.09","해운대구",12,4,83,1,581,3347,8299,1173
"부산","2021.09","부산기타",0,0,0,0,0,10,3,0
"부산","2021.10","금정구",9,5,66,2,384,2058,5245,509
"부산","2021.10","기장군",8,6,56,0,284,1486,3360,502
"부산","2021.10","남구",4,10,21,0,492,2437,6938,833
"부산","2021.10","동구",6,29,32,1,216,982,3008,289
"부산","2021.10","동래구",2,1,71,0,420,2404,5469,678
"부산","2021.10","부산진구",18,16,86,2,627,3889,9739,1179
"부산","2021.10","북구",12,4,48,0,432,2479,5629,617
"부산","2021.10","사상구",34,28,93,0,573,2997,6499,565
"부산","2021.10","사하구",10,2,74,2,528,2978,8054,809
"부산","2021.10","서구",1,6,2,0,222,1719,4155,289
"부산","2021.10","수영구",5,4,98,1,331,1473,4125,598
"부산","2021.10","연제구",5,5,95,36,279,1680,4371,581
"부산","2021.10","영도구",6,2,43,0,202,1624,4439,297
"부산","2021.10","해운대구",12,4,86,1,579,3338,8308,1189
"부산","2021.10","부산기타",0,0,0,0,0,10,2,0
"부산","2021.11","금정구",9,5,69,2,382,2012,5184,516
"부산","2021.11","기장군",8,5,56,0,286,1390,3279,510
"부산","2021.11","남구",4,11,21,0,493,2379,6890,832
"부산","2021.11","동구",6,29,32,1,216,932,2981,292
"부산","2021.11","동래구",2,1,71,0,421,2102,5321,686
"부산","2021.11","부산진구",18,17,86,2,615,3789,9683,1169
"부산","2021.11","북구",12,3,47,0,433,1991,5310,619
"부산","2021.11","사상구",35,29,93,0,575,2965,6397,562
"부산","2021.11","사하구",10,2,74,2,529,2964,8041,819
"부산","2021.11","서구",1,6,2,0,216,1474,4002,294
"부산","2021.11","수영구",5,4,98,1,328,1451,4122,607
"부산","2021.11","연제구",5,5,90,36,273,1649,4358,594
"부산","2021.11","영도구",6,2,42,0,205,1452,4337,303
"부산","2021.11","해운대구",12,2,85,1,579,2905,7828,1189
"부산","2021.11","부산기타",0,0,0,0,0,10,2,0
"부산","2021.12","금정구",9,5,69,2,376,2000,5169,517
"부산","2021.12","기장군",6,5,56,0,285,1398,3295,523
"부산","2021.12","남구",3,10,21,0,492,2378,6879,834
"부산","2021.12","동구",7,29,32,1,216,925,2982,285
"부산","2021.12","동래구",2,1,71,0,413,2102,5329,688
"부산","2021.12","부산진구",15,17,87,1,612,3791,9630,1171
"부산","2021.12","북구",12,3,47,0,436,1988,5297,624
"부산","2021.12","사상구",34,28,93,0,571,2979,6374,565
"부산","2021.12","사하구",8,2,74,2,521,2919,8020,804
"부산","2021.12","서구",1,6,2,0,219,1475,3970,302
"부산","2021.12","수영구",5,4,98,1,326,1444,4118,607
"부산","2021.12","연제구",5,5,90,36,272,1557,4283,608
"부산","2021.12","영도구",4,2,42,0,204,1453,4335,301
"부산","2021.12","해운대구",10,3,85,1,574,2910,7831,1191
"부산","2021.12","부산기타",0,0,0,0,0,10,2,0
"부산","2022.01","금정구",9,5,68,2,375,1995,5160,520
"부산","2022.01","기장군",6,5,56,0,280,1395,3307,525
"부산","2022.01","남구",3,10,21,0,488,2375,6850,830
"부산","2022.01","동구",7,29,32,1,206,921,2980,296
"부산","2022.01","동래구",2,1,71,0,413,2097,5379,688
"부산","2022.01","부산진구",15,19,87,1,612,3794,9616,1196
"부산","2022.01","북구",12,3,47,0,428,1993,5315,627
"부산","2022.01","사상구",34,26,90,0,569,2198,5794,579
"부산","2022.01","사하구",8,2,74,2,520,2912,8028,810
"부산","2022.01","서구",1,6,2,0,216,1477,3959,305
"부산","2022.01","수영구",5,4,98,1,322,1441,4112,620
"부산","2022.01","연제구",5,4,90,36,268,1566,4295,612
"부산","2022.01","영도구",4,2,42,0,203,1451,4350,306
"부산","2022.01","해운대구",10,1,85,1,573,2913,7827,1203
"부산","2022.01","부산기타",0,0,0,0,0,10,2,0
"부산","2022.02","금정구",9,5,68,2,374,1991,5125,514
"부산","2022.02","기장군",6,5,56,0,282,1402,3318,521
"부산","2022.02","남구",3,10,19,0,485,2370,6823,854
"부산","2022.02","동구",7,29,32,1,209,921,2991,297
"부산","2022.02","동래구",2,1,71,0,415,2093,5415,691
"부산","2022.02","부산진구",15,22,87,1,611,3795,9665,1198
"부산","2022.02","북구",11,3,47,0,422,2003,5314,633
"부산","2022.02","사상구",34,26,90,0,567,2195,5814,570
"부산","2022.02","사하구",8,2,73,2,516,2911,8045,835
"부산","2022.02","서구",1,6,2,0,216,1474,3965,299
"부산","2022.02","수영구",5,4,98,1,319,1436,4113,627
"부산","2022.02","연제구",5,4,90,36,273,1565,4295,615
"부산","2022.02","영도구",4,2,42,0,205,1447,4346,316
"부산","2022.02","해운대구",10,1,85,1,574,2907,7813,1200
"부산","2022.02","부산기타",0,0,0,0,0,10,2,0
"부산","2022.03","금정구",9,5,68,2,368,1994,5144,533
"부산","2022.03","기장군",6,5,57,0,282,1401,3336,524
"부산","2022.03","남구",3,10,19,0,478,2367,6847,861
"부산","2022.03","동구",7,29,32,1,210,926,2988,299
"부산","2022.03","동래구",2,1,71,0,418,2088,5471,712
"부산","2022.03","부산진구",15,22,87,1,603,3806,9739,1238
"부산","2022.03","북구",11,3,47,0,413,2009,5380,646
"부산","2022.03","사상구",35,26,91,0,564,2191,5827,573
"부산","2022.03","사하구",8,2,73,1,519,2914,8087,857
"부산","2022.03","서구",1,6,2,0,213,1470,3991,304
"부산","2022.03","수영구",4,4,98,1,320,1430,4124,632
"부산","2022.03","연제구",5,4,90,36,275,1565,4328,612
"부산","2022.03","영도구",4,2,42,0,199,1442,4332,320
"부산","2022.03","해운대구",10,1,85,1,569,2912,7861,1222
"부산","2022.03","부산기타",0,0,0,0,0,10,2,0
"부산","2022.04","금정구",9,5,68,2,362,2029,5152,544
"부산","2022.04","기장군",6,6,57,0,278,1414,3359,520
"부산","2022.04","남구",3,10,19,0,481,2371,6869,866
"부산","2022.04","동구",3,28,32,1,203,934,2997,306
"부산","2022.04","동래구",2,1,71,0,420,2091,5518,737
"부산","2022.04","부산진구",15,22,87,1,586,3849,9796,1274
"부산","2022.04","북구",11,4,47,0,408,2033,5451,652
"부산","2022.04","사상구",32,32,94,1,559,2198,5840,601
"부산","2022.04","사하구",4,2,73,2,514,2925,8109,876
"부산","2022.04","서구",1,6,2,0,216,1466,3983,309
"부산","2022.04","수영구",0,4,98,1,321,1429,4158,647
"부산","2022.04","연제구",5,4,90,36,277,1571,4341,612
"부산","2022.04","영도구",4,2,42,0,204,1452,4315,317
"부산","2022.04","해운대구",10,1,85,1,558,2945,7856,1245
"부산","2022.04","부산기타",0,0,0,0,0,10,2,0
"부산","2022.05","금정구",4,5,67,2,367,2037,5147,558
"부산","2022.05","기장군",5,6,57,0,285,1420,3371,534
"부산","2022.05","남구",3,10,19,0,471,2379,6921,876
"부산","2022.05","동구",2,28,32,1,201,937,3007,307
"부산","2022.05","동래구",2,1,71,0,407,2096,5530,759
"부산","2022.05","부산진구",10,22,87,1,583,3858,9792,1276
"부산","2022.05","북구",2,4,47,0,410,2042,5486,670
"부산","2022.05","사상구",26,33,96,1,557,2202,5835,585
"부산","2022.05","사하구",4,2,73,3,521,2931,8116,904
"부산","2022.05","서구",1,6,2,0,218,1466,3983,317
"부산","2022.05","수영구",0,4,98,1,323,1440,4198,651
"부산","2022.05","연제구",5,4,90,36,259,1568,4357,623
"부산","2022.05","영도구",4,2,42,0,213,1458,4336,331
"부산","2022.05","해운대구",6,1,85,1,547,2953,7857,1242
"부산","2022.05","부산기타",0,0,0,0,0,10,2,0
"부산","2022.06","금정구",4,4,67,2,368,2047,5144,567
"부산","2022.06","기장군",4,7,57,0,289,1429,3396,547
"부산","2022.06","남구",3,10,19,0,461,2377,6937,892
"부산","2022.06","동구",2,28,32,1,197,931,3001,304
"부산","2022.06","동래구",2,1,71,0,406,2083,5529,770
"부산","2022.06","부산진구",10,22,86,1,591,3844,9805,1289
"부산","2022.06","북구",2,4,47,0,410,2035,5494,673
"부산","2022.06","사상구",26,34,96,1,539,2206,5834,586
"부산","2022.06","사하구",4,2,73,3,529,2931,8131,917
"부산","2022.06","서구",1,6,2,0,218,1470,3997,319
"부산","2022.06","수영구",0,4,98,1,319,1444,4208,654
"부산","2022.06","연제구",5,4,90,36,261,1576,4358,634
"부산","2022.06","영도구",4,2,43,0,209,1463,4325,318
"부산","2022.06","해운대구",6,1,85,1,536,2937,7870,1235
"부산","2022.06","부산기타",0,0,0,0,0,10,2,0
"부산","2022.07","금정구",4,4,67,1,369,2057,5154,578
"부산","2022.07","기장군",2,7,57,0,293,1430,3413,561
"부산","2022.07","남구",3,10,19,0,460,2383,6966,902
"부산","2022.07","동구",2,22,32,1,198,934,3009,315
"부산","2022.07","동래구",2,1,71,0,410,2090,5549,803
"부산","2022.07","부산진구",10,22,86,1,597,3869,9828,1302
"부산","2022.07","북구",1,4,47,0,410,2037,5497,700
"부산","2022.07","사상구",27,36,97,1,552,2213,5839,587
"부산","2022.07","사하구",4,2,73,3,535,2866,8105,923
"부산","2022.07","서구",1,6,2,0,219,1472,4021,329
"부산","2022.07","수영구",0,4,98,1,311,1451,4247,665
"부산","2022.07","연제구",5,4,90,36,269,1570,4348,640
"부산","2022.07","영도구",4,2,43,0,218,1470,4348,322
"부산","2022.07","해운대구",7,1,85,1,542,2940,7855,1261
"부산","2022.07","부산기타",0,0,0,0,0,10,2,0
"부산","2022.08","금정구",4,4,69,1,364,2053,5136,585
"부산","2022.08","기장군",2,7,59,0,295,1441,3417,569
"부산","2022.08","남구",3,10,19,0,450,2377,6951,906
"부산","2022.08","동구",2,22,32,1,199,935,3010,309
"부산","2022.08","동래구",2,1,71,0,414,2096,5558,814
"부산","2022.08","부산진구",10,22,86,1,591,3868,9873,1332
"부산","2022.08","북구",1,4,46,0,415,2033,5505,713
"부산","2022.08","사상구",27,37,96,1,554,2216,5857,595
"부산","2022.08","사하구",4,2,73,1,529,2859,8116,926
"부산","2022.08","서구",1,6,2,0,214,1479,4024,336
"부산","2022.08","수영구",0,4,80,1,305,1454,4275,680
"부산","2022.08","연제구",5,4,85,36,266,1566,4352,651
"부산","2022.08","영도구",5,2,43,0,216,1470,4355,323
"부산","2022.08","해운대구",7,1,85,1,540,2936,7912,1291
"부산","2022.08","부산기타",0,0,0,0,0,10,2,0
"부산","2022.09","금정구",5,4,69,1,356,2061,5141,582
"부산","2022.09","기장군",2,7,58,0,296,1452,3426,575
"부산","2022.09","남구",3,10,18,0,445,2384,6969,914
"부산","2022.09","동구",2,22,32,1,197,944,3010,303
"부산","2022.09","동래구",2,1,71,0,412,2107,5565,831
"부산","2022.09","부산진구",10,22,87,1,592,3903,9927,1350
"부산","2022.09","북구",1,4,45,0,415,2056,5517,718
"부산","2022.09","사상구",27,38,97,1,546,2221,5880,592
"부산","2022.09","사하구",3,2,73,2,533,2879,8117,935
"부산","2022.09","서구",1,6,2,0,212,1485,4039,336
"부산","2022.09","수영구",0,4,80,1,312,1457,4288,686
"부산","2022.09","연제구",5,4,89,36,263,1583,4353,652
"부산","2022.09","영도구",5,2,43,0,217,1473,4365,326
"부산","2022.09","해운대구",7,2,85,1,537,2949,7926,1310
"부산","2022.09","부산기타",0,0,0,0,0,10,2,0
"부산","2022.10","금정구",5,4,69,1,349,2073,5132,575
"부산","2022.10","기장군",2,8,58,0,300,1456,3431,587
"부산","2022.10","남구",3,10,18,0,441,2390,6935,934
"부산","2022.10","동구",2,22,32,1,188,945,3008,311
"부산","2022.10","동래구",1,1,71,0,409,2114,5551,851
"부산","2022.10","부산진구",10,22,87,1,609,3902,9974,1384
"부산","2022.10","북구",1,4,45,0,411,2068,5530,713
"부산","2022.10","사상구",27,38,96,1,540,2229,5867,596
"부산","2022.10","사하구",6,2,73,2,534,2878,8103,950
"부산","2022.10","서구",1,6,2,0,209,1487,4036,335
"부산","2022.10","수영구",0,4,80,1,313,1466,4266,682
"부산","2022.10","연제구",5,4,89,36,262,1582,4366,663
"부산","2022.10","영도구",5,2,43,0,214,1477,4360,328
"부산","2022.10","해운대구",7,2,85,1,543,2948,7940,1325
"부산","2022.10","부산기타",0,0,0,0,0,10,2,0
"부산","2022.11","금정구",5,4,68,1,350,2067,5122,576
"부산","2022.11","기장군",2,8,58,0,305,1462,3414,612
"부산","2022.11","남구",3,10,18,0,443,2393,6943,937
"부산","2022.11","동구",2,22,32,1,186,947,2992,316
"부산","2022.11","동래구",1,1,71,1,417,2118,5534,855
"부산","2022.11","부산진구",10,21,87,1,614,3914,9994,1398
"부산","2022.11","북구",1,4,45,0,413,2067,5514,730
"부산","2022.11","사상구",27,38,96,1,536,2239,5879,593
"부산","2022.11","사하구",6,2,73,2,531,2885,8091,976
"부산","2022.11","서구",1,6,2,0,210,1490,4051,341
"부산","2022.11","수영구",0,4,80,1,309,1469,4239,679
"부산","2022.11","연제구",5,4,89,36,270,1584,4366,658
"부산","2022.11","영도구",5,2,43,0,213,1479,4356,328
"부산","2022.11","해운대구",7,2,86,1,535,2939,7941,1317
"부산","2022.11","부산기타",0,0,0,0,0,10,2,0
"부산","2022.12","금정구",5,4,68,2,348,2072,5113,568
"부산","2022.12","기장군",2,8,58,0,313,1462,3412,619
"부산","2022.12","남구",3,10,18,0,448,2390,6922,939
"부산","2022.12","동구",2,22,32,1,186,944,2989,317
"부산","2022.12","동래구",1,1,71,1,418,2129,5500,858
"부산","2022.12","부산진구",10,21,87,1,619,3914,9976,1392
"부산","2022.12","북구",1,4,45,0,416,2076,5492,722
"부산","2022.12","사상구",27,38,96,1,542,2244,5879,593
"부산","2022.12","사하구",6,2,73,0,534,2880,8084,979
"부산","2022.12","서구",1,6,2,0,209,1483,4040,338
"부산","2022.12","수영구",0,4,80,1,310,1471,4243,681
"부산","2022.12","연제구",5,4,89,36,273,1587,4338,654
"부산","2022.12","영도구",5,2,43,0,219,1480,4344,335
"부산","2022.12","해운대구",7,2,86,1,536,2941,7901,1328
"부산","2022.12","부산기타",0,0,0,0,0,10,2,0
