"시도명(1)","시점","시군구(1)",관용,관용,관용,관용,자가용,자가용,자가용,자가용
"시도명(1)","시점","시군구(1)",경형,소형,중형,대형,경형,소형,중형,대형
"부산","2019.07","연제구",5,6,148,36,262,1700,4136,389
"부산","2019.07","영도구",3,4,42,0,201,1605,4219,273
"부산","2019.07","해운대구",5,0,87,1,548,3321,7725,865
"부산","2019.07","부산기타",0,0,0,0,0,11,4,0
"부산","2019.08","금정구",8,14,72,3,363,2321,5183,391
"부산","2019.08","기장군",7,7,48,0,280,1596,2969,313
"부산","2019.08","남구",3,10,25,0,464,2800,6792,608
"부산","2019.08","동구",3,31,40,1,262,983,2848,191
"부산","2019.08","동래구",5,6,74,0,427,2419,5177,468
"부산","2019.08","부산진구",13,24,100,0,562,5992,9750,774
"부산","2019.08","북구",10,4,52,1,354,2429,5410,450
"부산","2019.08","사상구",26,28,106,1,485,2982,6195,364
"부산","2019.08","사하구",3,7,75,0,461,2946,7557,573
"부산","2019.08","서구",0,6,3,0,193,1713,4020,209
"부산","2019.08","수영구",1,0,101,0,319,1916,3977,397
"부산","2019.08","연제구",5,6,147,36,279,1697,4144,408
"부산","2019.08","영도구",3,4,42,0,202,1601,4227,278
"부산","2019.08","해운대구",10,0,87,1,552,3312,7745,863
"부산","2019.08","부산기타",0,0,0,0,0,10,4,0
"부산","2019.09","금정구",8,13,72,3,363,2326,5191,392
"부산","2019.09","기장군",7,7,48,0,286,1594,2983,324
"부산","2019.09","남구",3,10,25,0,465,2805,6786,624
"부산","2019.09","동구",3,31,40,1,258,980,2863,199
"부산","2019.09","동래구",5,6,74,0,428,2405,5182,480
"부산","2019.09","부산진구",13,24,99,0,547,5992,9814,779
"부산","2019.09","북구",10,4,52,0,353,2419,5415,457
"부산","2019.09","사상구",26,28,106,1,487,2984,6225,378
"부산","2019.09","사하구",3,7,75,0,464,2948,7582,587
"부산","2019.09","서구",0,6,3,0,189,1711,4024,209
"부산","2019.09","수영구",1,0,101,0,307,1918,3988,399
"부산","2019.09","연제구",5,6,147,36,278,1696,4177,404
"부산","2019.09","영도구",3,4,42,0,203,1592,4212,288
"부산","2019.09","해운대구",10,0,87,1,550,3317,7755,884
"부산","2019.09","부산기타",0,0,0,0,0,10,4,0
"부산","2019.10","금정구",9,15,72,3,372,2312,5193,382
"부산","2019.10","기장군",7,7,48,0,282,1590,3001,319
"부산","2019.10","남구",3,10,25,0,471,2797,6803,634
"부산","2019.10","동구",3,31,40,1,259,979,2866,207
"부산","2019.10","동래구",5,6,74,0,439,2404,5170,495
"부산","2019.10","부산진구",13,24,98,0,561,5993,9828,815
"부산","2019.10","북구",14,4,54,0,362,2412,5395,469
"부산","2019.10","사상구",25,28,106,1,536,2980,6233,385
"부산","2019.10","사하구",3,7,75,0,481,2947,7620,595
"부산","2019.10","서구",0,6,3,0,190,1709,4030,209
"부산","2019.10","수영구",1,0,101,0,299,1918,4001,396
"부산","2019.10","연제구",5,6,148,36,282,1688,4183,398
"부산","2019.10","영도구",3,4,42,0,210,1590,4221,290
"부산","2019.10","해운대구",10,0,87,1,554,3319,7772,901
"부산","2019.10","부산기타",0,0,0,0,0,10,4,0
"부산","2019.11","금정구",9,15,72,3,372,2300,5200,387
"부산","2019.11","기장군",6,7,48,0,279,1594,3004,321
"부산","2019.11","남구",3,10,25,0,476,2788,6801,642
"부산","2019.11","동구",3,31,40,1,257,979,2863,212
"부산","2019.11","동래구",5,5,74,0,438,2409,5181,501
"부산","2019.11","부산진구",13,24,93,0,562,5980,9791,819
"부산","2019.11","북구",14,4,53,0,361,2417,5401,470
"부산","2019.11","사상구",25,28,101,1,538,2979,6222,394
"부산","2019.11","사하구",3,7,75,0,479,2944,7616,598
"부산","2019.11","서구",0,6,3,0,189,1705,4023,216
"부산","2019.11","수영구",1,0,101,0,297,1911,4003,398
"부산","2019.11","연제구",5,6,148,36,269,1691,4193,405
"부산","2019.11","영도구",3,4,42,0,208,1588,4219,292
"부산","2019.11","해운대구",11,0,87,1,547,3309,7778,901
"부산","2019.11","부산기타",0,0,0,0,0,10,4,0
"부산","2019.12","금정구",9,15,74,3,373,2291,5205,389
"부산","2019.12","기장군",6,7,58,0,271,1588,3010,329
"부산","2019.12","남구",3,10,23,0,478,2791,6782,650
"부산","2019.12","동구",3,31,39,1,250,971,2866,210
"부산","2019.12","동래구",5,5,74,0,429,2405,5191,509
"부산","2019.12","부산진구",13,23,96,0,545,5961,9779,824
"부산","2019.12","북구",14,4,53,0,360,2427,5391,468
"부산","2019.12","사상구",25,28,101,1,536,2972,6198,399
"부산","2019.12","사하구",3,7,77,0,475,2938,7611,596
"부산","2019.12","서구",0,6,2,0,190,1704,4007,212
"부산","2019.12","수영구",1,0,101,0,296,1904,3974,404
"부산","2019.12","연제구",5,6,148,36,272,1687,4191,409
"부산","2019.12","영도구",3,4,42,0,206,1578,4224,286
"부산","2019.12","해운대구",9,0,92,1,555,3307,7779,908
"부산","2019.12","부산기타",0,0,0,0,0,10,4,0
"부산","2020.01","금정구",8,15,73,3,369,2284,5183,390
"부산","2020.01","기장군",6,7,49,0,268,1582,3008,342
"부산","2020.01","남구",3,10,23,0,478,2784,6770,653
"부산","2020.01","동구",3,31,39,1,243,966,2867,214
"부산","2020.01","동래구",5,5,74,0,424,2405,5184,509
